PWM_Right,PWM_Left,RPM_Right,RPM_Left
150,150,0.0,0.0
150,150,0.0,0.0
150,150,0.0,0.0
150,150,0.0,0.0
150,150,0.0,0.0
150,150,228.57,228.57
150,150,171.43,178.57
150,150,150.0,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,142.86,142.86
150,150,142.86,157.14
150,150,142.86,142.86
150,150,142.86,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,142.86,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,142.86,142.86
150,150,157.14,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,142.86,142.86
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,142.86
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,142.86
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,142.86
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,142.86
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,142.86
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,142.86
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,142.86
150,150,150.0,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,150.0,142.86
150,150,142.86,150.0
150,150,150.0,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,142.86
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,142.86
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,142.86
150,150,142.86,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,142.86,142.86
150,150,164.29,150.0
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,157.14,142.86
150,150,142.86,150.0
150,150,157.14,150.0
150,150,142.86,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,150.0,150.0
150,150,150.0,142.86
150,150,142.86,157.14
150,150,157.14,150.0
150.0,150.0,149.6435,149.286
